Supply and disposition,Gross withdrawals,Marketable production 3,Imports 4,Residential consumption,Industrial consumption 5,Commercial consumption,Exports 6,Opening inventory,Closing inventory,Inventory change
July 2022,"6,574.40","6,082.00","2,158,173.00","219,438.00","1,064,920.00","147,001.00","492,301.00","5,728,957.40","6,662,204.40","933,247.10"
August 2022,"6,499.60","6,204.00","2,231,722.00","194,759.00","1,209,126.00","150,293.00","445,797.00","6,662,204.40","7,757,494.70","1,095,290.30"
September 2022,"6,385.10","6,005.00","1,836,601.00","230,105.00","1,015,477.00","180,201.00","223,638.00","7,757,494.70","8,744,058.80","986,564.10"
October 2022,"5,652.40","5,712.00","2,150,986.70","458,763.00","1,108,345.00","386,952.00","238,870.00","8,744,058.80","9,154,077.50","410,018.70"
November 2022,"5,172.70","5,218.00","2,347,957.00","800,112.00","1,132,972.00","648,866.00","472,437.00","9,154,077.50","8,924,332.00","-229,745.60"
December 2022,"4,674.40","4,702.00","2,559,147.70","1,128,532.00","1,505,968.00","824,868.00","924,616.00","8,924,332.00","7,457,242.30","-1,467,089.70"
January 2023,"5,194.90","5,199.00","2,693,324.00","1,222,372.00","1,469,122.00","864,194.00","732,579.00","7,457,242.30","6,446,551.20","-1,010,691.10"
February 2023,"4,288.80","4,288.00","2,486,102.00","1,263,446.00","1,155,894.00","1,218,533.00","631,260.00","6,446,551.20","5,553,370.00","-893,181.20"
March 2023,"5,060.10","5,060.00","2,816,982.50","1,043,949.00","1,162,454.00","989,535.00","530,599.00","5,553,370.00","5,216,350.30","-337,019.70"
April 2023,"5,302.00","5,302.00","1,846,633.50","659,394.00","1,054,793.00","526,792.00","141,140.00","5,216,350.30","5,479,878.90","263,528.60"
may-23,"5,555.00","5,555.00","1,953,077.20","342,246.00","1,035,408.00","299,266.00","89,252.00","5,479,878.90","6,491,308.40","1,011,429.50"
June 2023,"5,340.90","5,426.00","1,778,218.10","209,761.00","1,219,664.00","143,386.00","275,913.00","6,491,308.40","7,300,190.20","808,881.80"
July 2023,"5,541.60","5,618.00","1,809,121.50","210,329.00","1,442,861.00","149,232.00","500,013.00","7,300,190.20","7,853,431.80","553,241.60"
August 2023,"5,695.00","5,794.00","1,265,502.00","197,688.00","1,318,748.00","142,404.00","259,518.00","7,853,431.80","8,274,100.80","420,669.00"
